rank_test_score,mean_test_score,std_test_score,param_classifier__criterion,param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__min_samples_split,param_classifier__class_weight
193,0.5558515922263545,0.02894478051299438,gini,6,10,20,
193,0.5558515922263545,0.02894478051299438,gini,6,10,10,
193,0.5558515922263545,0.02894478051299438,gini,6,10,2,
196,0.5557929742590347,0.033838186757921294,gini,6,5,20,
197,0.5557432528333477,0.023215148731836308,entropy,6,10,10,
197,0.5557432528333477,0.023215148731836308,entropy,6,10,20,
197,0.5557432528333477,0.023215148731836308,entropy,6,10,2,
200,0.5550312005960809,0.022628184027914094,entropy,8,5,2,
200,0.5550312005960809,0.022628184027914094,entropy,8,5,10,
202,0.5545370690632707,0.02067426057273369,entropy,4,5,2,
202,0.5545370690632707,0.02067426057273369,entropy,4,10,20,
202,0.5545370690632707,0.02067426057273369,entropy,4,5,20,
202,0.5545370690632707,0.02067426057273369,entropy,4,5,10,
202,0.5545370690632707,0.02067426057273369,entropy,4,10,2,
202,0.5545370690632707,0.02067426057273369,entropy,4,10,10,
202,0.5545370690632707,0.02067426057273369,entropy,4,20,2,
202,0.5545370690632707,0.02067426057273369,entropy,4,20,10,
202,0.5545370690632707,0.02067426057273369,entropy,4,20,20,
202,0.5545370690632707,0.02067426057273369,entropy,4,30,2,
202,0.5545370690632707,0.02067426057273369,entropy,4,30,10,
202,0.5545370690632707,0.02067426057273369,entropy,4,30,20,
214,0.5541153068566343,0.024370953732445425,gini,8,10,2,
214,0.5541153068566343,0.024370953732445425,gini,8,10,10,
214,0.5541153068566343,0.024370953732445425,gini,8,10,20,
217,0.5540458589105273,0.03359531944578376,gini,6,5,10,
217,0.5540458589105273,0.03359531944578376,gini,6,5,2,
219,0.5532185866331627,0.026194156496890077,entropy,6,5,10,
219,0.5532185866331627,0.026194156496890077,entropy,6,5,2,
221,0.5528771656893824,0.013056545885678122,entropy,6,30,2,
221,0.5528771656893824,0.013056545885678122,entropy,6,30,10,
221,0.5528771656893824,0.013056545885678122,entropy,6,30,20,
224,0.552731078758548,0.03409065215962469,entropy,,20,2,
224,0.552731078758548,0.03409065215962469,entropy,,20,10,
224,0.552731078758548,0.03409065215962469,entropy,,20,20,
227,0.5523579045224805,0.02724485624472013,entropy,6,5,20,
228,0.5512384453883958,0.024974587758148196,gini,,30,2,
228,0.5512384453883958,0.024974587758148196,gini,,30,10,
228,0.5512384453883958,0.024974587758148196,gini,,30,20,
231,0.5505248852997408,0.021274157288993952,entropy,,30,20,
231,0.5505248852997408,0.021274157288993952,entropy,,30,10,
231,0.5505248852997408,0.021274157288993952,entropy,,30,2,
234,0.547369240727233,0.02217096244755134,gini,8,5,20,
235,0.545915041687792,0.018834978966855397,gini,,5,2,balanced
235,0.545915041687792,0.018834978966855397,gini,,5,10,balanced
237,0.5423834254204062,0.009385670012146853,entropy,,5,10,balanced
237,0.5423834254204062,0.009385670012146853,entropy,,5,2,balanced
239,0.5423453043080853,0.02020307951957283,gini,8,5,2,
239,0.5423453043080853,0.02020307951957283,gini,8,5,10,
241,0.5396747589814739,0.013100133149685087,entropy,,10,10,
241,0.5396747589814739,0.013100133149685087,entropy,,10,2,
241,0.5396747589814739,0.013100133149685087,entropy,,10,20,
244,0.5356920386078402,0.013181692570611341,gini,,10,2,
244,0.5356920386078402,0.013181692570611341,gini,,10,10,
244,0.5356920386078402,0.013181692570611341,gini,,10,20,
247,0.5283281819701307,0.006501809455700099,gini,,5,20,
248,0.5242425916905771,0.011374080026698064,entropy,,5,20,
249,0.5237570767880259,0.025918529489274707,gini,4,30,10,
249,0.5237570767880259,0.025918529489274707,gini,4,30,2,
249,0.5237570767880259,0.025918529489274707,gini,4,20,10,
249,0.5237570767880259,0.025918529489274707,gini,4,20,2,
249,0.5237570767880259,0.025918529489274707,gini,4,20,20,
249,0.5237570767880259,0.025918529489274707,gini,4,30,20,
255,0.5231635309752671,0.02677985289076707,gini,4,10,20,
255,0.5231635309752671,0.02677985289076707,gini,4,10,10,
255,0.5231635309752671,0.02677985289076707,gini,4,10,2,
258,0.5231317548786444,0.02665707148145593,gini,4,5,2,
258,0.5231317548786444,0.02665707148145593,gini,4,5,20,
258,0.5231317548786444,0.02665707148145593,gini,4,5,10,
261,0.5105746940864587,0.013682430562882451,entropy,,5,2,
261,0.5105746940864587,0.013682430562882451,entropy,,5,10,
263,0.5011811343792771,0.009324725707015685,gini,,5,10,
263,0.5011811343792771,0.009324725707015685,gini,,5,2,
265,0.4848831384644653,0.017114969588362203,gini,3,30,2,
265,0.4848831384644653,0.017114969588362203,gini,3,20,20,
265,0.4848831384644653,0.017114969588362203,gini,3,20,10,
265,0.4848831384644653,0.017114969588362203,gini,3,20,2,
265,0.4848831384644653,0.017114969588362203,gini,3,10,20,
265,0.4848831384644653,0.017114969588362203,gini,3,10,10,
265,0.4848831384644653,0.017114969588362203,gini,3,10,2,
265,0.4848831384644653,0.017114969588362203,gini,3,5,20,
265,0.4848831384644653,0.017114969588362203,gini,3,5,10,
265,0.4848831384644653,0.017114969588362203,gini,3,30,10,
265,0.4848831384644653,0.017114969588362203,gini,3,5,2,
265,0.4848831384644653,0.017114969588362203,gini,3,30,20,
277,0.47814754949203414,0.02567138330940127,entropy,3,5,2,
277,0.47814754949203414,0.02567138330940127,entropy,3,5,10,
277,0.47814754949203414,0.02567138330940127,entropy,3,5,20,
277,0.47814754949203414,0.02567138330940127,entropy,3,10,2,
277,0.47814754949203414,0.02567138330940127,entropy,3,10,10,
277,0.47814754949203414,0.02567138330940127,entropy,3,10,20,
277,0.47814754949203414,0.02567138330940127,entropy,3,20,2,
277,0.47814754949203414,0.02567138330940127,entropy,3,20,10,
277,0.47814754949203414,0.02567138330940127,entropy,3,20,20,
277,0.47814754949203414,0.02567138330940127,entropy,3,30,2,
277,0.47814754949203414,0.02567138330940127,entropy,3,30,10,
277,0.47814754949203414,0.02567138330940127,entropy,3,30,20,
